case_id,item_code,unit_id,condition,condition_name,variant,model,thinking_mode,temperature,baseline_temperature,same_temperature_baseline_available,transition_type,baseline_label,current_label,transition,confidence,confidence_change,margin_1_vs_9,probe_selected_label,probe_margin_1_9,probe_margin_1_0,probe_margin_9_0,natural_probe_label_match,natural_probability_status,probe_probability_status,status
CASE_045,B4,UNIT_011,evidence_chain/broken_chain,evidence_chain,broken_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.19999999999999996,-3.183539333,9,-2.36794614,6.08896,8.456906140000001,True,available,available,ok
CASE_045,B4,UNIT_011,evidence_chain/broken_chain,evidence_chain,broken_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-21.375,9,-25.5,-4.25,21.25,True,available,available,ok
CASE_045,B4,UNIT_011,evidence_chain/complete_chain,evidence_chain,complete_chain,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.10000000000000009,0.79980035,1,1.64955692,8.43820852,6.788651600000001,True,available,available,ok
CASE_045,B4,UNIT_011,evidence_chain/complete_chain,evidence_chain,complete_chain,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-17.0,9,-18.625,15.625,34.25,True,available,available,ok
CASE_045,B4,UNIT_011,organization/concentrated,organization,concentrated,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.7,0.0,3.9578574360000003,1,2.810521876,10.003106576,7.192584699999999,True,available,available,ok
CASE_045,B4,UNIT_011,organization/concentrated,organization,concentrated,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-7.749568939208984,9,-12.499996304512024,12.625,25.124996304512024,True,available,available,ok
CASE_045,B4,UNIT_011,organization/scattered,organization,scattered,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,1,1->1,0.8,0.10000000000000009,6.5144674991,1,1.7379815,8.7152649,6.977283399999999,True,available,available,ok
CASE_045,B4,UNIT_011,organization/scattered,organization,scattered,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,-18.0,9,-13.499998569488525,17.25,30.749998569488525,True,available,available,ok
CASE_045,B4,UNIT_011,polarity/polarity_clarified,polarity,polarity_clarified,deepseek,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,1,9,1->9,0.5,-0.19999999999999996,-3.586088052,9,-11.928177152014001,0.42815599999999954,12.356333152014,True,available,available,ok
CASE_045,B4,UNIT_011,polarity/polarity_clarified,polarity,polarity_clarified,seed,disabled,0.35,0,False,temperature0_base_to_temperature035_diagnostic_reference,9,9,9->9,0.5,0.0,,9,-20.375,23.875,44.25,True,available,available,ok
