model,case_id,unit_id,item_code,stimulus_id,polarity,explicitness,expected_label,label,correct_label,positive_label,negative_world_positive_leak,margin_1_9,margin_1_0,margin_9_0,candidate_coverage_count,candidate_coverage_complete,status
deepseek,CASE_015,UNIT_002,A2,UNIT_002__negative__explicit,negative,explicit,0,0,1,0,0,-0.8024589999999989,-21.515825,-20.713366,3,True,ok
deepseek,CASE_015,UNIT_002,A2,UNIT_002__negative__implicit,negative,implicit,0,0,1,0,0,0.6854630000000004,-12.560049754805,-13.245512754805,3,True,ok
deepseek,CASE_015,UNIT_002,A2,UNIT_002__positive__explicit,positive,explicit,1,1,1,1,,37.33122,36.95161,-0.37960999999999956,3,True,ok
deepseek,CASE_015,UNIT_002,A2,UNIT_002__positive__implicit,positive,implicit,1,1,1,1,,30.633333,28.403463,-2.229870000000002,3,True,ok
deepseek,CASE_015,UNIT_004,D2,UNIT_004__negative__explicit,negative,explicit,0,0,1,0,0,0.7441990000000018,-16.33441388079072,-17.078612880790722,3,True,ok
deepseek,CASE_015,UNIT_004,D2,UNIT_004__negative__implicit,negative,implicit,0,1,0,1,1,3.892566096,2.679345296,-1.2132207999999998,3,True,ok
deepseek,CASE_015,UNIT_004,D2,UNIT_004__positive__explicit,positive,explicit,1,1,1,1,,31.367847,28.43835,-2.9294970000000013,3,True,ok
deepseek,CASE_015,UNIT_004,D2,UNIT_004__positive__implicit,positive,implicit,1,1,1,1,,27.224693,18.779177,-8.445515999999998,3,True,ok
deepseek,CASE_018,UNIT_007,A4,UNIT_007__negative__explicit,negative,explicit,0,0,1,0,0,-2.0562949999999987,-22.023767,-19.967472,3,True,ok
deepseek,CASE_018,UNIT_007,A4,UNIT_007__negative__implicit,negative,implicit,0,0,1,0,0,-13.238525999999998,-23.612584767654,-10.374058767654,3,True,ok
deepseek,CASE_018,UNIT_007,A4,UNIT_007__positive__explicit,positive,explicit,1,1,1,1,,32.78407,29.674046,-3.1100239999999992,3,True,ok
deepseek,CASE_018,UNIT_007,A4,UNIT_007__positive__implicit,positive,implicit,1,1,1,1,,25.067701,18.210314,-6.857386999999999,3,True,ok
deepseek,CASE_018,UNIT_008,E1,UNIT_008__negative__explicit,negative,explicit,0,0,1,0,0,2.6798779999999987,-26.768898,-29.448776,3,True,ok
deepseek,CASE_018,UNIT_008,E1,UNIT_008__negative__implicit,negative,implicit,0,0,1,0,0,3.3204649999999987,-19.519838,-22.840303,3,True,ok
deepseek,CASE_018,UNIT_008,E1,UNIT_008__positive__explicit,positive,explicit,1,1,1,1,,32.810642,32.91959,0.10894799999999805,3,True,ok
deepseek,CASE_018,UNIT_008,E1,UNIT_008__positive__implicit,positive,implicit,1,1,1,1,,27.897673,27.955105,0.057431999999998595,3,True,ok
deepseek,CASE_035,UNIT_009,A1,UNIT_009__negative__explicit,negative,explicit,0,0,1,0,0,4.328662999999999,-23.335304,-27.663967,3,True,ok
deepseek,CASE_035,UNIT_009,A1,UNIT_009__negative__implicit,negative,implicit,0,0,1,0,0,-1.0045680000000026,-20.460882,-19.456314,3,True,ok
deepseek,CASE_035,UNIT_009,A1,UNIT_009__positive__explicit,positive,explicit,1,1,1,1,,26.500713,29.007034,2.506321,3,True,ok
deepseek,CASE_035,UNIT_009,A1,UNIT_009__positive__implicit,positive,implicit,1,1,1,1,,22.134193,27.851753,5.717559999999999,3,True,ok
deepseek,CASE_081,UNIT_017,A2,UNIT_017__negative__explicit,negative,explicit,0,0,1,0,0,2.4834010000000006,-21.952581,-24.435982,3,True,ok
deepseek,CASE_081,UNIT_017,A2,UNIT_017__negative__implicit,negative,implicit,0,0,1,0,0,3.2165800000000004,-18.108194,-21.324774,3,True,ok
deepseek,CASE_081,UNIT_017,A2,UNIT_017__positive__explicit,positive,explicit,1,1,1,1,,37.50487,33.905083,-3.599786999999999,3,True,ok
deepseek,CASE_081,UNIT_017,A2,UNIT_017__positive__implicit,positive,implicit,1,1,1,1,,25.534882,22.601374,-2.933508,3,True,ok
deepseek,CASE_081,UNIT_019,F1,UNIT_019__negative__explicit,negative,explicit,0,0,1,0,0,5.737191000000001,-14.9583866423722,-20.6955776423722,3,True,ok
deepseek,CASE_081,UNIT_019,F1,UNIT_019__negative__implicit,negative,implicit,0,1,0,1,1,14.7306498378,7.5696022378,-7.1610476,3,True,ok
deepseek,CASE_081,UNIT_019,F1,UNIT_019__positive__explicit,positive,explicit,1,1,1,1,,31.208857,30.55844,-0.6504169999999974,3,True,ok
deepseek,CASE_081,UNIT_019,F1,UNIT_019__positive__implicit,positive,implicit,1,1,1,1,,26.573133,29.149017,2.575884000000002,3,True,ok
deepseek,CASE_110,UNIT_021,A1,UNIT_021__negative__explicit,negative,explicit,0,0,1,0,0,-0.5159529999999997,-21.554865,-21.038912,3,True,ok
deepseek,CASE_110,UNIT_021,A1,UNIT_021__negative__implicit,negative,implicit,0,0,1,0,0,-3.755286,-16.03159823164,-12.27631223164,3,True,ok
